Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,P:System.Data.SqlClient.SqlCommand.CommandText,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,T:System.Data.SqlClient.SqlCommand,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,432,16,M:System.Data.SqlClient.SqlCommand.#ctor,,,,,"var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,430,12,T:System.Data.SqlClient.SqlConnection,,,,,"using (var connection = new SqlConnection(SourceConnectionString))              {                  var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };                    connection.Open();                    using (var cReader = count.ExecuteReader())                  {                      cReader.Read();                      rows = cReader.GetInt64(0);                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,430,12,M:System.Data.SqlClient.SqlConnection.#ctor(System.String),,,,,"using (var connection = new SqlConnection(SourceConnectionString))              {                  var count = new SqlCommand()                  {                      CommandText = ""SELECT Count_BIG(*) FROM "" + table.FullTableName,                      CommandType = CommandType.Text,                      Connection = connection,                      CommandTimeout = 200                  };                    connection.Open();                    using (var cReader = count.ExecuteReader())                  {                      cReader.Read();                      rows = cReader.GetInt64(0);                  }              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,419,36,M:System.Data.SqlClient.SqlCommand.ExecuteNonQuery,,,,,alterCmd.ExecuteNonQuery();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,416,32,T:System.Data.SqlClient.SqlCommand,,,,,"using (var alterCmd = new SqlCommand(                                      $""ALTER TABLE {table.FullTableName} SET (SYSTEM_VERSIONING = ON ({historyRef}DATA_CONSISTENCY_CHECK = OFF))"",                                      targetConnection))                                      alterCmd.ExecuteNonQuery();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,416,32,"M:System.Data.SqlClient.SqlCommand.#ctor(System.String,System.Data.SqlClient.SqlConnection)",,,,,"using (var alterCmd = new SqlCommand(                                      $""ALTER TABLE {table.FullTableName} SET (SYSTEM_VERSIONING = ON ({historyRef}DATA_CONSISTENCY_CHECK = OFF))"",                                      targetConnection))                                      alterCmd.ExecuteNonQuery();"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,402,36,T:System.Data.SqlClient.SqlRowsCopiedEventHandler,,,,,bulkCopy.SqlRowsCopied -= ProgressEvent.Invoke;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseCopier.Proxy.csproj,File,C:\workspace\DatabaseCopier\DatabaseCopier.Proxy\DatabaseIO.cs,402,36,T:System.Data.SqlClient.SqlRowsCopiedEventHandler,,,,,bulkCopy.SqlRowsCopied -= ProgressEvent.Invoke;
